modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1,0.965508014008256,0.6562213146437985,0.6914157226263338,감귤나무숲,"관광농원,팜스테이",제주 제주시 도련남3길 81,도련일동 1431,4.73,21,33.5004225898246,126.587394573924
2,0.8857223153872615,0.6635252662701717,0.714460429999134,새별프렌즈,동물원,제주 제주시 애월읍 평화로 1529,봉성리 4554,4.16,21,33.3630645795358,126.363952880522
3,0.0,0.7977994746327157,0.0,쇠소깍,"강,하천",제주 서귀포시 쇠소깍로 104,하효동 990-1,0.0,21,33.2540927304372,126.622297201204
4,0.9454847474201032,0.79157704121564,0.5132505869812035,용머리해안,"해수욕장,해변",없음,제주 서귀포시 안덕면 사계리 112-3,4.58,21,33.2334821266939,126.314630553022
5,0.9048418219112596,0.8948799882159052,0.6947185167049322,헬로키티아일랜드,테마파크,제주 서귀포시 안덕면 한창로 340,상창리 1963-2,4.29,21,33.2900918522971,126.352091777668
6,0.9345358308985776,0.9894276697362946,0.791666080691,아쿠아플라넷 제주,아쿠아리움,제주 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,고성리 127-3,4.5,21,33.4325290457068,126.927210594909
7,0.0,0.7822836079467291,0.0,금오름,오름,없음,제주 제주시 한림읍 금악리 산1-1,0.0,21,33.3556958434344,126.305586388283
8,0.0,0.5103237021828998,0.0,금악오름,오름,없음,제주 제주시 한림읍 금악리 산1-1,0.0,21,33.3556958434344,126.305586388283
9,0.9106083128102075,1.0,0.657832942012531,카멜리아힐,"식물원,수목원",제주 서귀포시 안덕면 병악로 166,상창리 271,4.33,21,33.2897834216618,126.369804744145
10,0.9134716125066987,0.8675933186296756,0.0,함덕해수욕장,"해수욕장,해변",제주 제주시 조천읍 조함해안로 525,함덕리 산14-1,4.35,21,33.5434400380203,126.670043830018
11,0.9289881606993602,0.9428676869577121,0.6914157226263338,에코랜드 테마파크,테마파크,제주 제주시 조천읍 번영로 1278-169,대흘리 1221-1,4.46,21,33.4617082765982,126.67038434988
12,0.9148983294012186,0.8256137576144065,0.0,새별오름,오름,없음,제주 제주시 애월읍 봉성리 산59-8,4.36,21,33.3674086988003,126.355252824574
13,0.9707403391146481,0.8898787537673035,0.7093342160036934,스누피가든,"관람,체험",제주 제주시 구좌읍 금백조로 930,송당리 2303-3,4.77,21,33.4435164926461,126.778570884895
14,0.0,0.7618495592218731,0.0,광치기해변,"해수욕장,해변",없음,제주 서귀포시 성산읍 고성리 224-33,0.0,21,33.4523163676613,126.923894848289
