hostelid,name,type,address1,address2,tel,homepage,checktime,petinfo,placeinfo,rating,review,theme,themenum,firstimage,latitude,longitude
1,제주플래티늄카라반,"캠핑,야영장",제주 제주시 애월읍 하귀미수포길 5-8,하귀2리 1806-2,064-805-9999,http://jejuptcar.com/main/index.html,미제공,,,4.53,1171,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20210928_60%2F1632798353569KkLGP_JPEG%2Fimage.jpg,33.4834452845662,126.401406450408
2,리썸카라반,"캠핑,야영장",제주 서귀포시 대정읍 일과대수로27번길 12,일과리 1303-10,0507-1465-6769,http://www.resomecaravan.com,입실 16:00 퇴실 11:00,,,4.96,160,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210514_66%2F16209625515574giMi_JPEG%2F-lEbZ8vH_oeQI3_huqjr363l.jpeg.jpg,33.2392413490932,126.230147218432
3,제주게스트하우스파티 자고가,게스트하우스,제주 서귀포시 성산읍 신양로122번길 29 1층,고성리 559-4,0507-1365-0567,https://www.instagram.com/jagoga_guesthouse/,입실 16:00 퇴실 10:00,,,0.0,901,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230523_91%2F1684823254467ie3fN_JPEG%2FIMG_1436.jpeg,33.4531677418264,126.418975883357
4,서건도카라반,펜션,제주 서귀포시 이어도로 826-51,강정동 750,010-6739-8012,http://cafe.naver.com/seogundo,입실 15:00 퇴실 11:00,,,0.0,408,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200723_241%2F1595468110394qto1q_JPEG%2Fimage.jpg,33.2324902055938,126.500066213573
5,태흥연가,펜션,제주 서귀포시 남원읍 태위로940번길 12-50 태흥연가,태흥리 1148-1,0507-1380-1149,http://www.taeheungyeonga.com,미제공,,,0.0,302,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220613_67%2F16551083359108Np39_JPEG%2F3F33.jpg,33.2830733015469,126.747106212288
6,이스트몽블루카라반캠핑,"캠핑,야영장",제주 제주시 구좌읍 종달동길 73-1,종달리 582,0507-1344-7569,https://www.instagram.com/dufks,입실 15:00 퇴실 11:00,,,0.0,118,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20221213_276%2F1670902552300pHVXR_JPEG%2Fimage.jpg,33.491286074966,126.90703124677
7,녹고뫼펜션캠핑장,"캠핑,야영장",제주 제주시 애월읍 유수암평화10길 175-78,유수암리 92,064-799-8118,http://www.nokumecamp.com/,입실 15:00 퇴실 11:00,,,0.0,329,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230921_33%2F1695261874775PkEH2_JPEG%2F1_%252817%2529.jpg,33.4131378507595,126.418546150179
8,팜핑제주카라반,"캠핑,야영장",제주 서귀포시 중산간서로400번길 105,도순동 1303,070-4101-1060,https://pampingjeju.modoo.at/,미제공,,,4.18,143,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181224_261%2F1545633190025XL0MT_JPEG%2FZ917Aflfam-FOkp2R6Tjw63Q.jpg,33.2690373557243,126.47271264967
9,휴림,"캠핑,야영장",제주 제주시 애월읍 광령남서길 40,광령리 2873,064-799-4883,http://www.jejusanjo.co.kr/,미제공,,,4.06,317,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210215_66%2F1613356062394FtDRI_JPEG%2F105.jpg,33.4433328038364,126.429266773129
10,하도리오길잘했어,민박,제주 제주시 구좌읍 문주란로 22-10,하도리 1418,0507-1395-2210,https://midori529hadori.modoo.at,미제공,,,4.82,485,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200807_76%2F1596775865859boA6i_JPEG%2F9gIdgwLRCH0LxO0LZM9mNBtV.jpg,33.5180698272325,126.88443526836
