modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude,themenum.1
4,0.9454847474201032,0.79157704121564,0.5132505869812035,용머리해안,"해수욕장,해변",없음,제주 서귀포시 안덕면 사계리 112-3,4.58,21,33.2334821266939,126.314630553022,21
19,0.9134716125066988,0.8135888525506354,0.5647518609723661,만장굴,문화재,제주 제주시 구좌읍 만장굴길 182,월정리 산41-5,4.35,21,33.52758869059,126.771658734935,21
26,0.9303797288836324,0.6934700761995487,0.5327444177992336,대포해안주상절리대,기념물,제주 서귀포시 이어도로 36-24,중문동 2757-10,4.47,21,33.2386995873351,126.426443828098,21
32,0.9303797288836324,0.8084398622157428,0.5355485480423817,천제연폭포,폭포,제주 서귀포시 천제연로 132 천제연폭포관리소,중문동 2232,4.47,21,33.2523664213192,126.418335726991,21
43,0.9359150433063156,0.8279894983560074,0.6534610556391202,제주김녕미로공원,"식물원,수목원",제주 제주시 구좌읍 만장굴길 122,김녕리 산16,4.51,21,33.5365829245539,126.772389689633,21
49,0.9359150433063156,0.706501356503133,0.4867494130187964,서귀포자연휴양림,"휴양림,산림욕장",제주 서귀포시 1100로 882,대포동 산1-8,4.51,21,33.3107804230256,126.459776529173,21
50,0.9468398950337578,0.7405352212299781,0.5647518609723661,서귀포 치유의 숲,"휴양림,산림욕장",제주 서귀포시 산록남로 2271,호근동 산4,4.59,21,33.2920546300057,126.529511810716,21
54,0.954909293316522,0.6645221579145879,0.5132505869812035,거문오름,오름,제주 제주시 조천읍 선교로 569-36,선흘리 478,4.65,21,33.4569970161991,126.714306169739,21
58,0.9289881606993602,0.6821148932874791,0.4867494130187964,붉은오름자연휴양림,"휴양림,산림욕장",제주 서귀포시 표선면 남조로 1487-73,가시리 산158,4.46,21,33.3960408950916,126.669144945634,21
71,0.9134716125066988,0.7885791506280909,0.6328328419837757,동백포레스트,"식물원,수목원",제주 서귀포시 남원읍 생기악로 53-38,신례리 1767,4.35,21,33.3003449035082,126.636216133758,21
